Job Title,Salary,Experience Level
Robotics Engineer,157550.0,MI
Robotics Engineer,77350.0,MI
Data Engineer,181300.0,SE
Data Engineer,108800.0,SE
Associate,137500.0,EN
Associate,105000.0,EN
Data Analyst,145300.0,SE
Data Analyst,72700.0,SE
Data Scientist,240000.0,MI
Data Scientist,150000.0,MI
Data Scientist,204600.0,SE
Data Scientist,84500.0,SE
Technical Lead,140000.0,SE
Technical Lead,125000.0,SE
Engineer,100650.0,SE
Engineer,73200.0,SE
Software Engineer,248400.0,SE
Software Engineer,140600.0,SE
Associate,85250.0,MI
Associate,62000.0,MI
Engineer,120200.0,EN
Engineer,70700.0,EN
Engineer,95500.0,MI
Engineer,65000.0,MI
Software Engineer,146875.0,MI
Software Engineer,81250.0,MI
Software Engineer,355000.0,SE
Software Engineer,194000.0,SE
Engineer,130000.0,MI
Engineer,81000.0,MI
Analytics Engineer,118000.0,SE
Analytics Engineer,108000.0,SE
Data Analyst,160000.0,SE
Data Analyst,128000.0,SE
Data Analyst,117400.0,SE
Data Analyst,80000.0,SE
AI Developer,220000.0,MI
AI Developer,96600.0,MI
Data Scientist,220000.0,MI
Data Scientist,96600.0,MI
Data Scientist,284280.0,SE
Data Scientist,142140.0,SE
Data Scientist,195500.0,SE
Data Scientist,117300.0,SE
Data Scientist,173040.0,MI
Data Scientist,79310.0,MI
Data Scientist,234000.0,SE
Data Scientist,117000.0,SE
Data Scientist,222480.0,SE
Data Scientist,111240.0,SE
Data Engineer,189750.0,SE
Data Engineer,158400.0,SE
Data Engineer,266875.0,SE
Data Engineer,128250.0,SE
Software Engineer,248700.0,SE
Software Engineer,161500.0,SE
Engineer,266875.0,SE
Engineer,128250.0,SE
Software Engineer,234000.0,SE
Software Engineer,117000.0,SE
Systems Engineer,181800.0,MI
Systems Engineer,118050.0,MI
Data Analyst,100000.0,MI
Data Analyst,66000.0,MI
Engineer,175900.0,SE
Engineer,117300.0,SE
Data Scientist,173900.0,SE
Data Scientist,101500.0,SE
Machine Learning Engineer,177000.0,EN
Machine Learning Engineer,116000.0,EN
Applied Scientist,260000.0,SE
Applied Scientist,150400.0,SE
Applied Scientist,222200.0,MI
Applied Scientist,136000.0,MI
Lead Engineer,175000.0,SE
Lead Engineer,160000.0,SE
Data Scientist,132480.0,SE
Data Scientist,132480.0,SE
Data Scientist,180000.0,SE
Data Scientist,144000.0,SE
Data Scientist,110000.0,EN
Data Scientist,100000.0,EN
Data Scientist,150000.0,SE
Data Scientist,140000.0,SE
Machine Learning Engineer,113000.0,SE
Machine Learning Engineer,113000.0,SE
Data Engineer,135000.0,MI
Data Engineer,108000.0,MI
Research Engineer,160000.0,EN
Research Engineer,140000.0,EN
Engineer,334000.0,EX
Engineer,214000.0,EX
Software Engineer,235200.0,SE
Software Engineer,156800.0,SE
Software Engineer,235200.0,SE
Software Engineer,156800.0,SE
Software Engineer,288000.0,SE
Software Engineer,192000.0,SE
Solutions Architect,204300.0,MI
Solutions Architect,118200.0,MI
Analytics Engineer,244000.0,SE
Analytics Engineer,177500.0,SE
Analytics Engineer,244000.0,SE
Analytics Engineer,177500.0,SE
Data Engineer,234000.0,SE
Data Engineer,147000.0,SE
Data Engineer,199408.0,SE
Data Engineer,133000.0,SE
Data Engineer,160000.0,SE
Data Engineer,130000.0,SE
Data Modeler,140000.0,SE
Data Modeler,140000.0,SE
Systems Engineer,189200.0,SE
Systems Engineer,129000.0,SE
Manager,189200.0,SE
Manager,129000.0,SE
AI Engineer,180000.0,SE
AI Engineer,180000.0,SE
Data Scientist,198000.0,MI
Data Scientist,124000.0,MI
Data Scientist,350000.0,SE
Data Scientist,240000.0,SE
Machine Learning Engineer,280000.0,SE
Machine Learning Engineer,201500.0,SE
Engineer,180000.0,SE
Engineer,120000.0,SE
Machine Learning Engineer,170000.0,EN
Machine Learning Engineer,150000.0,EN
Machine Learning Engineer,268000.0,SE
Machine Learning Engineer,205000.0,SE
Machine Learning Engineer,330000.0,SE
Machine Learning Engineer,270000.0,SE
Machine Learning Engineer,280000.0,SE
Machine Learning Engineer,180200.0,SE
Data Specialist,44000.0,MI
Data Specialist,44000.0,MI
Data Analyst,170000.0,SE
Data Analyst,125000.0,SE
Associate,203000.0,MI
Associate,113000.0,MI
Associate,203000.0,MI
Associate,113000.0,MI
Backend Engineer,229900.0,MI
Backend Engineer,164200.0,MI
Consultant,242000.0,SE
Consultant,123000.0,SE
Consultant,242000.0,SE
Consultant,123000.0,SE
Consultant,242000.0,SE
Consultant,123000.0,SE
Consultant,242000.0,SE
Consultant,123000.0,SE
Engineer,180000.0,SE
Engineer,120000.0,SE
Engineer,180000.0,MI
Engineer,140000.0,MI
Engineer,200000.0,SE
Engineer,150000.0,SE
Engineer,182000.0,SE
Engineer,142000.0,SE
Solutions Architect,299000.0,SE
Solutions Architect,169000.0,SE
Engineer,70000.0,EN
Engineer,54600.0,EN
Engineer,70000.0,EN
Engineer,54600.0,EN
Engineer,70000.0,MI
